Time,V(R5:2)
2.500003296858e-04,3.955838586345e-05
2.500006573717e-04,3.955838586377e-05
2.500013127434e-04,3.955838586380e-05
2.500026234868e-04,3.955838586380e-05
2.500052449736e-04,3.955838586406e-05
2.500104879471e-04,3.955838586433e-05
2.500209738943e-04,3.955838586438e-05
2.500419457885e-04,3.955838586377e-05
2.500838895771e-04,3.955838586171e-05
2.501316090557e-04,3.955838585678e-05
2.502013107273e-04,3.955838585231e-05
2.503407140705e-04,3.955838585498e-05
2.506195207569e-04,3.955838585627e-05
2.510694642993e-04,3.955838585336e-05
2.514959474536e-04,3.955838585586e-05
2.521290918323e-04,3.955838586005e-05
2.526397844287e-04,3.955838585424e-05
2.531710763904e-04,3.955838584653e-05
2.537885805103e-04,3.955838584587e-05
2.543356080982e-04,3.955838584712e-05
2.548442979785e-04,3.955838586683e-05
2.554095407459e-04,3.955838585526e-05
2.559519906970e-04,3.955838584728e-05
2.566334863636e-04,3.955838585426e-05
2.573094507190e-04,3.955838585221e-05
2.578805108997e-04,3.955838586136e-05
2.584854265186e-04,3.955838586875e-05
2.589434286090e-04,3.955838585873e-05
2.595135351154e-04,3.955838585633e-05
2.600283285114e-04,3.955838584725e-05
2.606048246356e-04,3.955838586135e-05
2.612783094379e-04,3.955838585072e-05
2.620437284442e-04,3.955838584732e-05
2.626630445453e-04,3.955838585058e-05
2.632799764606e-04,3.955838585313e-05
2.637838026020e-04,3.955838584696e-05
2.642667432758e-04,3.955838585044e-05
2.647186895343e-04,3.955838585739e-05
2.653103490802e-04,3.955838584205e-05
2.659283300373e-04,3.955838584876e-05
2.667812009784e-04,3.955838584679e-05
2.674325605365e-04,3.955838585534e-05
2.680416723224e-04,3.955838584286e-05
2.685337682697e-04,3.955838585031e-05
2.690218587848e-04,3.955838585231e-05
2.694821973773e-04,3.955838585154e-05
2.700149198505e-04,3.955838585015e-05
2.706215520832e-04,3.955838585011e-05
2.713692327472e-04,3.955838585841e-05
2.719232221576e-04,3.955838584583e-05
2.724987646076e-04,3.955838585235e-05
2.731585164997e-04,3.955838585873e-05
2.738780637714e-04,3.955838584359e-05
2.744088788959e-04,3.955838585025e-05
2.749016424152e-04,3.955838586183e-05
2.755361219379e-04,3.955838585536e-05
2.762382169696e-04,3.955838585546e-05
2.767676015827e-04,3.955838585030e-05
2.773069997760e-04,3.955838585098e-05
2.779633184406e-04,3.955838584480e-05
2.786810537311e-04,3.955838585802e-05
2.792302747699e-04,3.955838585063e-05
2.797908445331e-04,3.955838586617e-05
2.804923673603e-04,3.955838585327e-05
2.812533994647e-04,3.955838584692e-05
2.818216939899e-04,3.955838586641e-05
2.824393888446e-04,3.955838585159e-05
2.831890722248e-04,3.955838585615e-05
2.839646955463e-04,3.955838585696e-05
2.846165319416e-04,3.955838585163e-05
2.852571149799e-04,3.955838585356e-05
2.861477514240e-04,3.955838585540e-05
2.867591520282e-04,3.955838583739e-05
2.874002119037e-04,3.955838584783e-05
2.881729742023e-04,3.955838585651e-05
2.890141149494e-04,3.955838585226e-05
2.896757741901e-04,3.955838586160e-05
2.903327604267e-04,3.955838586074e-05
2.913230558368e-04,3.955838585303e-05
2.918802877399e-04,3.955838586253e-05
2.925645490619e-04,3.955838585607e-05
2.933970113727e-04,3.955838584435e-05
2.940412183734e-04,3.955838586033e-05
2.947035451862e-04,3.955838585257e-05
2.953508993122e-04,3.955838585305e-05
2.960570951435e-04,3.955838586606e-05
2.965855260822e-04,3.955838585757e-05
2.971335073444e-04,3.955838585687e-05
2.977737089130e-04,3.955838585966e-05
2.984754224750e-04,3.955838584654e-05
2.989954610797e-04,3.955838584915e-05
2.995309492084e-04,3.955838584777e-05
3.000000020800e-04,3.955838583726e-05
3.000108992992e-04,3.955838584118e-05
3.000326937375e-04,3.955838584312e-05
3.000762826143e-04,3.955838584606e-05
3.001278763948e-04,3.955838584735e-05
3.001859790025e-04,3.955838584945e-05
3.003021842180e-04,3.955838584722e-05
3.005345946489e-04,3.955838585981e-05
3.009994155107e-04,3.955838585769e-05
3.014905577836e-04,3.955838584185e-05
3.022162085710e-04,3.955838586289e-05
3.027233725725e-04,3.955838586350e-05
3.032370215593e-04,3.955838585681e-05
3.039841300187e-04,3.955838585763e-05
3.044480448900e-04,3.955838585971e-05
3.049009925065e-04,3.955838585691e-05
3.054677611528e-04,3.955838586336e-05
3.060610419450e-04,3.955838585208e-05
3.067694312272e-04,3.955838585499e-05
3.074928885637e-04,3.955838584151e-05
